linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,djvu,https://files.knihi.com/Knihi/scanned/Kahaniec.Modny_sliachciuk.djvu,,,Модны шляхцюк,/Karus_Kahaniec/Modny_slachciuk_scan.html
2,epub,/Karus_Kahaniec/Braty_maje_rodnyja.epub,,,"""Браты мае родныя...""",/Karus_Kahaniec/Braty_maje_rodnyja.html
3,epub,/Karus_Kahaniec/Vietry_bujny_zahulali.epub,,,"""Ветры буйны загулялі...""",/Karus_Kahaniec/Vietry_bujny_zahulali.html
4,epub,/Karus_Kahaniec/Vyjdu_na_haru_vysoku.epub,,,"""Выйду на гару высоку...""",/Karus_Kahaniec/Vyjdu_na_haru_vysoku.html
5,epub,/Karus_Kahaniec/Dy_nastala_z_bo_majo_sviatanka.epub,,,"""Ды настала ж бо маё святанька...""",/Karus_Kahaniec/Dy_nastala_z_bo_majo_sviatanka.html
6,epub,/Karus_Kahaniec/Zajvaronca_maly.epub,,,"""Жайваронча малы...""",/Karus_Kahaniec/Zajvaronca_maly.html
7,epub,"/Karus_Kahaniec/Lasy,_bary_i_dubrovy.epub",,,"""Лясы, бары і дубровы...""","/Karus_Kahaniec/Lasy,_bary_i_dubrovy.html"
8,epub,"/Karus_Kahaniec/Oj,_u_poli_viecier_vieje.epub",,,"""Ой, у полі вецер вее...""","/Karus_Kahaniec/Oj,_u_poli_viecier_vieje.html"
9,epub,/Karus_Kahaniec/Salaviejka_mily.epub,,,"""Салавейка мілы...""",/Karus_Kahaniec/Salaviejka_mily.html
10,epub,/Karus_Kahaniec/Soniejka_pryhrela.epub,,,"""Сонейка прыгрэла...""",/Karus_Kahaniec/Soniejka_pryhrela.html
11,epub,/Karus_Kahaniec/U_try_slachi_iduc_lachi.epub,,,"""У тры шляхі ідуць ляхі...""",/Karus_Kahaniec/U_try_slachi_iduc_lachi.html
12,epub,/Karus_Kahaniec/Jaki_z_to_viecier_bujny_hraje.epub,,,"""Які ж то вецер буйны грае...""",/Karus_Kahaniec/Jaki_z_to_viecier_bujny_hraje.html
13,epub,/Karus_Kahaniec/Adkul_ziaziula_uzialasia_z_narodnaha_apaviadannia_z-pad_Niomnu.epub,,,Адкуль зязюля ўзялася? (з народнага апавядання з-пад Нёмну),/Karus_Kahaniec/Adkul_ziaziula_uzialasia_z_narodnaha_apaviadannia_z-pad_Niomnu.html
14,epub,/Karus_Kahaniec/Achota_vichubarnatara_na_viadzmiedzia.epub,,,Ахота віцгубарнатара на вядзьмедзя,/Karus_Kahaniec/Achota_vichubarnatara_na_viadzmiedzia.html
15,epub,/Karus_Kahaniec/Backa_synu.epub,,,Бацька сыну,/Karus_Kahaniec/Backa_synu.html
16,epub,/Karus_Kahaniec/Bielarus.epub,,,Беларус,/Karus_Kahaniec/Bielarus.html
17,epub,/Karus_Kahaniec/Butrymava_pryhoda.epub,,,Бутрымава прыгода,/Karus_Kahaniec/Butrymava_pryhoda.html
18,epub,/Karus_Kahaniec/Byvaly_Jur_u_Miensku.epub,,,Бывалы Юр у Менску,/Karus_Kahaniec/Byvaly_Jur_u_Miensku.html
19,epub,/Karus_Kahaniec/Byvaly_Jur_u_Minsku.epub,,,Бывалы Юр у Мінску,/Karus_Kahaniec/Byvaly_Jur_u_Minsku.html
20,epub,/Karus_Kahaniec/Vandrouka_kropli_vady.epub,,,Вандроўка кроплі вады,/Karus_Kahaniec/Vandrouka_kropli_vady.html
21,epub,/Karus_Kahaniec/Vaucok.epub,,,Ваўчок,/Karus_Kahaniec/Vaucok.html
22,epub,/Karus_Kahaniec/Vitauka.epub,,,Вітаўка,/Karus_Kahaniec/Vitauka.html
23,epub,/Karus_Kahaniec/Vosienniu.epub,,,Восенню,/Karus_Kahaniec/Vosienniu.html
24,epub,/Karus_Kahaniec/Hod.epub,,,Год,/Karus_Kahaniec/Hod.html
25,epub,/Karus_Kahaniec/Dvojcy_prapili.epub,,,Двойчы прапілі,/Karus_Kahaniec/Dvojcy_prapili.html
26,epub,/Karus_Kahaniec/Zuraviel_i_capla.epub,,,Журавель і чапля,/Karus_Kahaniec/Zuraviel_i_capla.html
27,epub,/Karus_Kahaniec/Z_refieratu_na_kaladny_schod_bielaruskaj_hramady_1903_hoda.epub,,,З рэферату на калядны сход беларускай грамады 1903 года,/Karus_Kahaniec/Z_refieratu_na_kaladny_schod_bielaruskaj_hramady_1903_hoda.html
28,epub,/Karus_Kahaniec/Zabojstva_Zacharki.epub,,,Забойства Захаркі,/Karus_Kahaniec/Zabojstva_Zacharki.html
29,epub,/Karus_Kahaniec/Zabojstva_u_puscy.epub,,,Забойства ў пушчы,/Karus_Kahaniec/Zabojstva_u_puscy.html
30,epub,/Karus_Kahaniec/Zasulskija_Ture.epub,,,Засульскія Турэ,/Karus_Kahaniec/Zasulskija_Ture.html
31,epub,/Karus_Kahaniec/Zhadka_pra_halubka.epub,,,Згадка пра галубка,/Karus_Kahaniec/Zhadka_pra_halubka.html
32,epub,/Karus_Kahaniec/Kabzar.epub,,,Кабзар,/Karus_Kahaniec/Kabzar.html
33,epub,/Karus_Kahaniec/Maseka.epub,,,Машэка,/Karus_Kahaniec/Maseka.html
34,epub,/Karus_Kahaniec/Maja_piersaja_achvota.epub,,,Мая першая ахвота,/Karus_Kahaniec/Maja_piersaja_achvota.html
35,epub,/Karus_Kahaniec/Modny_slachciuk.epub,,,Модны шляхцюк,/Karus_Kahaniec/Modny_slachciuk.html
36,epub,/Karus_Kahaniec/Na_mabilizacyju_8-22_snieznia_1904_h.epub,,,На мабілізацыю (8—22 снежня 1904 г.),/Karus_Kahaniec/Na_mabilizacyju_8-22_snieznia_1904_h.html
37,epub,/Karus_Kahaniec/Na_splavie.epub,,,На сплаве,/Karus_Kahaniec/Na_splavie.html
38,epub,/Karus_Kahaniec/Na_splau.epub,,,На сплаў,/Karus_Kahaniec/Na_splau.html
39,epub,/Karus_Kahaniec/Navasadskaje_zamcysca.epub,,,Навасадскае замчышча,/Karus_Kahaniec/Navasadskaje_zamcysca.html
40,epub,/Karus_Kahaniec/Nas_poklic.epub,,,Наш покліч,/Karus_Kahaniec/Nas_poklic.html
41,epub,/Karus_Kahaniec/Nas_symbol.epub,,,Наш сымболь,/Karus_Kahaniec/Nas_symbol.html
42,epub,/Karus_Kahaniec/Nasa_dola_maladziecka.epub,,,Наша доля маладзецка,/Karus_Kahaniec/Nasa_dola_maladziecka.html
43,epub,/Karus_Kahaniec/Nasyja_ptuski.epub,,,Нашыя птушкі,/Karus_Kahaniec/Nasyja_ptuski.html
44,epub,/Karus_Kahaniec/Nioman.epub,,,Нёман,/Karus_Kahaniec/Nioman.html
45,epub,/Karus_Kahaniec/Palessie.epub,,,Палессе,/Karus_Kahaniec/Palessie.html
46,epub,/Karus_Kahaniec/Parada.epub,,,Парада,/Karus_Kahaniec/Parada.html
47,epub,/Karus_Kahaniec/Piesnia_zimie.epub,,,Песня зіме,/Karus_Kahaniec/Piesnia_zimie.html
48,epub,/Karus_Kahaniec/Plac_bielarusa.epub,,,Плач беларуса,/Karus_Kahaniec/Plac_bielarusa.html
49,epub,/Karus_Kahaniec/Pra_pana_Lenskaha.epub,,,Пра пана Ленскага,/Karus_Kahaniec/Pra_pana_Lenskaha.html
50,epub,/Karus_Kahaniec/Pramova.epub,,,Прамова,/Karus_Kahaniec/Pramova.html
51,epub,/Karus_Kahaniec/Pryluki.epub,,,Прылукі,/Karus_Kahaniec/Pryluki.html
52,epub,/Karus_Kahaniec/Skrypac_i_vauki.epub,,,Скрыпач і ваўкі,/Karus_Kahaniec/Skrypac_i_vauki.html
53,epub,/Karus_Kahaniec/Starazovy_kurhan_pjesa.epub,,,Старажовы курган,/Karus_Kahaniec/Starazovy_kurhan_pjesa.html
54,epub,/Karus_Kahaniec/Starazovy_kurhan.epub,,,Старажовы курган,/Karus_Kahaniec/Starazovy_kurhan.html
55,epub,/Karus_Kahaniec/Strasnaje_zaklinannie.epub,,,Страшнае заклінанне,/Karus_Kahaniec/Strasnaje_zaklinannie.html
56,epub,/Karus_Kahaniec/Sciaty_kamien.epub,,,Сцяты камень,/Karus_Kahaniec/Sciaty_kamien.html
57,epub,/Karus_Kahaniec/Syn_Danila.epub,,,Сын Даніла,/Karus_Kahaniec/Syn_Danila.html
58,epub,/Karus_Kahaniec/Takaja_dola.epub,,,Такая доля,/Karus_Kahaniec/Takaja_dola.html
59,epub,/Karus_Kahaniec/Try_alesyny.epub,,,Тры алешыны,/Karus_Kahaniec/Try_alesyny.html
60,epub,/Karus_Kahaniec/U_insym_scasci_niascascie_schavana.epub,,,У іншым шчасці няшчасце схавана,/Karus_Kahaniec/U_insym_scasci_niascascie_schavana.html
61,epub,/Karus_Kahaniec/Uspamin.epub,,,Успамін...,/Karus_Kahaniec/Uspamin.html
62,epub,/Karus_Kahaniec/Chalera_40-ha_roku.epub,,,Халера 40-га року,/Karus_Kahaniec/Chalera_40-ha_roku.html
63,epub,"/Karus_Kahaniec/Cym_bolej_chto_maje,_tym_bolej_zadaje,_abo_Adkul_miadzviedzi_na_sviet_uzialisia.epub",,,"Чым болей хто мае, тым болей жадае, або Адкуль мядзведзі на свет узяліся","/Karus_Kahaniec/Cym_bolej_chto_maje,_tym_bolej_zadaje,_abo_Adkul_miadzviedzi_na_sviet_uzialisia.html"
64,epub,"/Karus_Kahaniec/Sto_kazuch,_to_nie_vata.epub",,,"Што кажух, то не вата","/Karus_Kahaniec/Sto_kazuch,_to_nie_vata.html"
65,epub,"/Karus_Kahaniec/Sto_kazuch,_to_nie_vata_1979.epub",,,"Што кажух, то не вата","/Karus_Kahaniec/Sto_kazuch,_to_nie_vata_1979.html"
